number,value,datetime_start,datetime_complete,duration,params_L1,params_L2,params_batchsize,params_dropout,params_lr,params_optimizer,system_attrs_cma:generation,system_attrs_cma:n_restarts,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,state
51,0.8560000658035278,2023-04-09 00:32:09.956460,2023-04-09 00:32:45.147286,0 days 00:00:35.190826,0.005,0.021,32,0.2,0.01,SGD,2.0,0.0,800363636d6165732e5f636d610a434d410a7100298171017d71022858060000005f6e5f64696d71034b0358080000005f706f7073697a6571044b0758030000005f6d7571054b0358070000005f6d755f6566667106636e756d70792e636f72652e6d756c746961727261790a7363616c61720a7107636e756d70790a64747970650a7108580200000066387109898887710a52710b284b0358010000003c710c4e4e4e4affffffff4affffffff4b0074710d624308e4aa647ddc090240710e86710f52711058030000005f636371116807680b43083e39d84fb3e1e13f711286711352711458030000005f633171156807680b43088785f23a4daeb83f711686711752711858040000005f636d7571196807680b43089026bdad883caa3f711a86711b52711c58080000005f635f7369676d61711d6807680b43089c0fa27bde8dda3f711e86711f52712058080000005f645f7369676d6171216807680b4308e783e89e77a3f63f712286712352712458030000005f636d71254b0158060000005f6368695f6e7126473ff98ccf7402d8f758080000005f776569676874737127636e756d70792e636f72652e6d756c746961727261790a5f7265636f6e7374727563740a7128636e756d70790a6e6461727261790a71294b0085712a430162712b87712c52712d284b014b0785712e680858020000006638712f8988877130527131284b03680c4e4e4e4affffffff4affffffff4b007471326289433838b370ce9abde23f38b370ce9abdd23f5a99b752be1cbf3f00000000000000004c692454e524dbbf45162a4f47a9e8bf0a807be2bc04f1bf71337471346258080000005f705f7369676d617135682868294b00857136682b877137527138284b014b03857139680b8943182a53a2eac21402c054de7651c2e5d73f6a0b7caaa3fdd8bf713a74713b6258030000005f7063713c682868294b0085713d682b87713e52713f284b014b03857140680b894318ec1428d64d62e8bf5bb9714a0f9dd63f8282d5351492f1bf71417471426258050000005f6d65616e7143682868294b00857144682b877145527146284b014b0385714768318943189a9999999999c93f2d437dd1253cad3fc9d57d0d86eda73f71487471496258060000005f7369676d61714a6807680b430841bc7d35af26993f714b86714c52714d58020000005f44714e4e58020000005f42714f4e58070000005f626f756e64737150682868294b00857151682b877152527153284b014b034b0286715468318943309a9999999999a9bf9a9999999999e13ffca9f1d24d6240bfee7c3f355ebab93ffca9f1d24d6240bfee7c3f355ebab93f71557471566258110000005f6e5f6d61785f726573616d706c696e6771574b1e58020000005f6771584b0258050000005f746f6,c7871596807680b4308926283c4e0f3123d715a86715b52715c58070000005f746f6c787570715d4740c388000000000058070000005f746f6c66756e715e473d719799812dea1158100000005f746f6c636f6e646974696f6e636f76715f4742d6bcc41e900000580d0000005f66756e686973745f7465726d71604b17580f0000005f66756e686973745f76616c7565737161682868294b00857162682b877163527164284b014b2e85716568318942700100001b2fdd240681b53ffca9f1d24d62603f000000a0efa7e6bf000000202db2bdbf000000202db2e5bf000000e0f528dcbffca9f1d24d62a03f1b2fdd240681953ffa7e6abc7493883f4a0c022b8716b93f3cdf4f8d976e923f3cdf4f8d976ea23f8b6ce7fba9f1b23fba490c022b87863f0000000000000000d9cef753e3a59b3f0ad7a3703d0aa73fba490c022b87863ffca9f1d24d62803fba490c022b87963ffca9f1d24d62803ffca9f1d24d62903f9cc420b07268b13fd9cef753e3a59b3f0ad7a3703d0aa73ffa7e6abc7493783ffca9f1d24d62903f0000000000000000fca9f1d24d62703ffca9f1d24d62603f00000000000000003ab4c876be9f8a3f79e9263108ac7c3f9a9999999999993ffa7e6abc7493783f08ac1c5a643baf3f4c37894160e5a03f0000000000000000fca9f1d24d62703f3cdf4f8d976e923ffa7e6abc7493883f62105839b4c8b63ffa7e6abc7493683f7b14ae47e17a843fb81e85eb51b88e3f7b14ae47e17a943f71667471676258050000005f635f31647168682868294b00857169682b87716a52716b284b014b0685716c680b89433096b3266b9232f33f9a3690b4a94ba6bf442096f7fda2bc3f458b12bc21bfec3f364cbaa959e3b1bfe8b16fc3c8eaef3f716d74716e6275622e,COMPLETE
10,0.7080000042915344,2023-04-09 00:25:09.706433,2023-04-09 00:25:29.813547,0 days 00:00:20.107114,0.065,0.05,128,0.2,0.001,Adam,0.0,0.0,,,COMPLETE
46,0.6780000329017639,2023-04-09 00:31:34.629454,2023-04-09 00:31:53.687267,0 days 00:00:19.057813,0.039,0.047,128,0.2,0.001,Adam,1.0,0.0,,,COMPLETE
82,0.6720000505447388,2023-04-09 00:36:48.101968,2023-04-09 00:37:15.616460,0 days 00:00:27.514492,0.065,0.029,32,0.2,0.001,SGD,2.0,0.0,,,COMPLETE
77,0.6460000276565552,2023-04-09 00:35:54.645959,2023-04-09 00:36:19.713093,0 days 00:00:25.067134,0.055,0.07100000000000001,128,0.2,0.001,Adam,2.0,0.0,,,COMPLETE
1,0.6360000371932983,2023-04-09 00:22:22.593689,2023-04-09 00:22:43.516510,0 days 00:00:20.922821,0.067,0.055,128,0.2,0.001,SGD,0.0,0.0,,,COMPLETE
28,0.6340000033378601,2023-04-09 00:28:42.057094,2023-04-09 00:29:07.692150,0 days 00:00:25.635056,0.043000000000000003,0.079,128,0.2,0.001,Adam,1.0,0.0,,,COMPLETE
55,0.628000020980835,2023-04-09 00:33:15.448565,2023-04-09 00:33:42.972576,0 days 00:00:27.524011,0.023,0.067,64,0.2,0.001,Adam,2.0,0.0,,,COMPLETE
70,0.6020000576972961,2023-04-09 00:34:50.859567,2023-04-09 00:35:09.514369,0 days 00:00:18.654802,0.005,0.062,256,0.2,0.01,Adam,2.0,0.0,,,COMPLETE
39,0.5960000157356262,2023-04-09 00:30:54.814468,2023-04-09 00:31:09.175583,0 days 00:00:14.361115,0.04,0.065,256,0.2,0.01,SGD,1.0,0.0,,,PRUNED
